Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Collection
fightpro-pink-unicorn-bokshandschoenen-kids,Fightpro Pink Unicorn bokshandschoenen kids LEGENDS,"<p>LEGEND KIDS COLLECTION</p>
<p>Fightpro Pink Unicorn bokshandschoenen kids van LEGENDS lijn</p>
<p>&nbsp;</p>",Fightpro,Kids,"Fightpro, Kids",TRUE,Maat,140,,,shopify,12,deny,manual,44.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/05/FIGHTPRO-bokshandschoenen-kids-unicorn-1.jpg,1,Fightpro Pink Unicorn bokshandschoenen kids LEGENDS,FALSE,Fightpro Pink Unicorn bokshandschoenen kids LEGENDS,"Stoere Roze Eenhoorn bokshandschoenen voor kids. Mooi te combineren met scheenbeschermers , shirt , broekje en tas van dezelfde lijn. verkrijgbaar in de maten: 4 oz 6oz 8 oz 10 oz",active,Kids
fightpro-pink-unicorn-bokshandschoenen-kids,,,,,,,,152,,,shopify,12,deny,manual,44.95,,TRUE,TRUE,,,,,,,,
fightpro-pink-unicorn-bokshandschoenen-kids,,,,,,,,164,,,shopify,12,deny,manual,44.95,,TRUE,TRUE,,,,,,,,
fightpro-pink-unicorn-bokshandschoenen-kids,,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/05/FIGHTPRO-bokshandschoenen-kids-unicorn-2.jpg,2,,,,,
fightpro-ice-wolf-bokshandschoenen-kids,Fightpro Ice Wolf bokshandschoenen kids LEGENDS,"<p>LEGENDS KIDS COLLECTION</p>
<p>Fightpro Ice Wolf bokshandschoenen kids</p>
<p>&nbsp;</p>",Fightpro,Kids,"Fightpro, Kids",TRUE,Maat,140,,,shopify,12,deny,manual,44.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/05/FIGHTPRO-bokshandschoenen-kids-WOLF-1.jpg,1,Fightpro Ice Wolf bokshandschoenen kids LEGENDS,FALSE,Fightpro Ice Wolf bokshandschoenen kids LEGENDS,"Stoere Wolf bokshandschoenen voor kids. Mooi te combineren met scheenbeschermers , shirt , broekje en tas van dezelfde lijn. verkrijgbaar in de maten: 4 oz 6oz 8 oz 10 oz",active,Kids
fightpro-ice-wolf-bokshandschoenen-kids,,,,,,,,152,,,shopify,12,deny,manual,44.95,,TRUE,TRUE,,,,,,,,
fightpro-ice-wolf-bokshandschoenen-kids,,,,,,,,164,,,shopify,12,deny,manual,44.95,,TRUE,TRUE,,,,,,,,
fightpro-ice-wolf-bokshandschoenen-kids,,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/05/FIGHTPRO-bokshandschoenen-kids-WOLF-2.jpg,2,,,,,
fightpro-stootpads-rood-zwart-leren-focus-pads-voor-boksen-kickboksen-2,FIGHTPRO STOOTPADS ROOD/ZWART – LEREN FOCUS PADS VOOR BOKSEN & KICKBOKSEN,"<h2>PROFESSIONELE LEREN HANDPADS VOOR INTENSIEVE TRAINING</h2>
<p>De Fightpro stootpads rood/zwart zijn ontwikkeld voor intensieve stoot- en combinatietraining. Dankzij het hoogwaardige leer bieden deze focus pads een lange levensduur, uitstekende schokabsorptie en optimaal trainingscomfort.</p>
<p>De ergonomische vorm zorgt voor een stabiele en veilige handpositie, terwijl de meerlaagse padding harde stoten effectief opvangt. Ideaal voor trainers en sporters binnen boksen, kickboksen, Muay Thai en MMA.</p>
<hr />
<h2>VOORDELEN VAN DE FIGHTPRO STOOTPADS</h2>
<ul>
<li>Gemaakt van hoogwaardig en duurzaam leer</li>
<li>Uitstekende schokabsorptie</li>
<li>Ergonomische pasvorm voor stevige grip</li>
<li>Lichtgewicht ontwerp voor snelle combinaties</li>
<li>Comfortabel voor trainer en sporter</li>
<li>Geschikt voor intensieve trainingen</li>
</ul>
<hr />
<h2>GESCHIKT VOOR</h2>
<ul>
<li>Boksen</li>
<li>Kickboksen</li>
<li>Muay Thai</li>
<li>MMA</li>
<li>Pads training</li>
<li>Combinatie- en snelheidstraining</li>
</ul>",Fightpro,trap/stoot kussens,"Fightpro, trap/stoot kussens, Uitrusting, Bestseller",TRUE,Title,Default Title,074002-bl-1-3,,shopify,12,deny,manual,89.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/05/IMG_1675.jpeg,1,FIGHTPRO STOOTPADS ROOD/ZWART – LEREN FOCUS PADS VOOR BOKSEN & KICKBOKSEN,FALSE,FIGHTPRO STOOTPADS ROOD/ZWART – LEREN FOCUS PADS VOOR BOKSEN & KICKBOKSEN,,active,Uitrusting
fightpro-stootpads-rood-zwart-leren-focus-pads-voor-boksen-kickboksen,FIGHTPRO THAI KICK PADS / TRAPSTOOT PADS LEER,"<h2>PROFESSIONELE STOOT- EN TRAP PADS VOOR MUAY THAI EN KICKBOKSEN</h2>
<p>De Fightpro Trittschlagpolster (Thai kick pads) zijn speciaal ontwikkeld voor intensieve trap- en stoottraining. Gemaakt van hoogwaardig, slijtvast leer bieden deze pads een duurzame en professionele trainingsoplossing voor dagelijks gebruik in gyms en vechtsportscholen.</p>
<p>De stevige schuimvulling absorbeert krachtige trappen en stoten optimaal en geeft tegelijkertijd realistische feedback aan de sporter. Dit maakt ze ideaal voor techniek-, kracht- en combinatietraining.</p>
<p>Dankzij het ergonomische ontwerp en de stevige handgrepen liggen de pads comfortabel en stabiel in de hand, zelfs tijdens lange en intensieve sessies.</p>
<hr />
<h2>VOORDELEN VAN DE FIGHTPRO THAI KICK PADS</h2>
<ul>
<li>Gemaakt van hoogwaardig echt leer</li>
<li>Zeer duurzaam en slijtvast</li>
<li>Stevige schuimvulling voor optimale demping</li>
<li>Ergonomische handgrepen voor veilige grip</li>
<li>Geschikt voor intensieve training</li>
<li>Professionele gym kwaliteit</li>
</ul>
<hr />
<h2>GESCHIKT VOOR</h2>
<ul>
<li>Kickboksen</li>
<li>Muay Thai</li>
<li>Boksen</li>
<li>MMA</li>
<li>Pad training en combinaties</li>
<li>Techniek- en krachttraining</li>
</ul>",Fightpro,trap/stoot kussens,"Fightpro, trap/stoot kussens, Uitrusting, Bestseller",TRUE,Title,Default Title,074002-bl-1-2,,shopify,12,deny,manual,179.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/05/IMG_1673.jpeg,1,FIGHTPRO THAI KICK PADS / TRAPSTOOT PADS LEER,FALSE,FIGHTPRO THAI KICK PADS / TRAPSTOOT PADS LEER,,active,Uitrusting
